City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,utrik,11.2278,169.8474,28.96,76,100,7.75,MH,1694500248
203,canchungo,12.0672,-16.0333,25.07,96,100,0.76,GW,1694500249
204,la passe,45.5549,-0.8967,19.99,84,97,3.2,FR,1694500249
205,mhamid,29.82,-5.72,28.74,20,100,1.72,MA,1694500249
206,kununurra,-15.7667,128.7333,33.99,10,7,6.17,AU,1694500250
207,fortuna,40.5982,-124.1573,16.1,94,100,2.06,US,1694500126
208,valparaiso,-33.0393,-71.6273,10.8,76,0,4.12,CL,1694499956
209,ust-nera,64.5667,143.2,5.72,56,89,1.88,RU,1694500252
210,vila franca do campo,37.7167,-25.4333,21.05,99,29,1.21,PT,1694500252
211,sijunjung,-0.6876,100.9537,32.85,43,16,2.06,ID,1694500253
212,atafu village,-8.5421,-172.5159,28.39,77,100,6.47,TK,1694500253
213,st. paul,44.9444,-93.0933,13.88,93,100,3.6,US,1694500185
214,north platte,41.1239,-100.7654,12.99,87,0,2.06,US,1694500254
215,kalemie,-5.9475,29.1947,27.19,57,18,1.52,CD,1694500255
216,siquirres,10.0975,-83.5066,23.98,96,100,1.02,CR,1694500255
217,saint-philippe,-21.3585,55.7679,26.73,71,0,6.09,RE,1694500256
218,mersing,2.4312,103.8405,31.95,74,40,6.17,MY,1694500257
219,djenne,13.9061,-4.5533,28.76,59,1,3.39,ML,1694500258
220,berja,36.8469,-2.9497,22.64,65,42,2.4,ES,1694500259
221,saldanha,-33.0117,17.9442,10.19,61,90,3.62,ZA,1694500260
222,askoy,60.4092,5.226,12.75,100,75,1.03,NO,1694500261
223,high river,50.5834,-113.8687,19.06,53,100,4.48,CA,1694500262
224,brokopondo,4.75,-55.1667,25.12,87,87,3.79,SR,1694500263
225,axim,4.8699,-2.2405,24.12,93,100,3.35,GH,1694500263
226,xining,36.6167,101.7667,21.58,34,4,1.61,CN,1694500263
227,enewetak,11.3474,162.3373,28.78,76,26,4.61,MH,1694500264
228,hithadhoo,-0.6,73.0833,28.05,76,22,5.82,MV,1694500266
229,anchorage,61.2181,-149.9003,10.05,86,40,2.57,US,1694500194
230,mogocha,53.7333,119.7667,12.51,35,100,3.56,RU,1694500267
231,rabigh,22.7986,39.0349,32.11,66,44,3.7,SA,1694500092
232,hengchun,22.0042,120.7439,27.79,74,100,2.74,TW,1694500268
233,whitehorse,60.7161,-135.0538,10.43,64,75,7.72,CA,1694500269
234,cananeia,-25.0147,-47.9267,19.81,90,0,0.81,BR,1694500269
235,gillette,44.2911,-105.5022,13.3,74,0,3.6,US,1694500010
236,kijang,35.2442,129.2139,28.85,66,92,2.64,KR,1694500270
237,gadebusch,53.7,11.1167,19.63,79,100,1.61,DE,1694500270
238,mount pearl,47.5166,-52.7813,13.31,97,100,2.24,CA,1694500271
239,nova vicosa,-17.8919,-39.3719,22.86,79,87,5.04,BR,1694500271
240,al ghayzah,16.2079,52.176,30.53,70,45,4.42,YE,1694500272
241,tabou,4.423,-7.3528,24.6,91,100,2.63,CI,1694500272
